31,7-Nov-12,Bunker cots,"PV925,783",2012-13,20 bunker cots,REG/FC/2012-13/042,Furniture,Amirtham Steel,,P,"140,000",SCV,SCV Campus,In use
32,6-Dec-12,SCV Well - Grills,"FC - PV 22,26,33,34,37,40,50,91,96,97,106,117,119,134,177,206,234,298,400,522,615,1041PV1041",2012-13,Pipes for the well grill works,REG/FC/2012-13/043,Buildings,Local made,Local made,P,"503,825",SCV,SCV Campus,In use
33,,Kitchen Utensils,5 PV's,2008-12,Various items,REG/FC/2012-13/044,Kitchen utensils,,,P,"24,348",SCV,SCV Campus,In use
34,26-Dec-12,2 Computer tables,FC - PV1160,2012-13,2 Tables,REG/FC/2012-13/045,Furniture,Local made,Local made,P,"3,000",SCV,SCV Campus,Condemned
35,28-Dec-12,TVS Super XL,FC - PV1172,2012-13,TVS Super XL HD,REG/FC/2012-13/046,Vehicles,TVS,TN25AE9128,P,"27,144",SCV,SCV Campus,Sold
36,18-Jan-13,Steel Buero,"FC - PV1283,1284",2012-13,,REG/FC/2012-13/049,Furniture,Local made,Local made,P,"5,550",SCV,SCV Campus,In use
37,18-Jan-13,5ltr Mixer and Grinder,FC - SPV1278,2012-13,Mixi and big grinder,REG/FC/2012-13/050,Kitchen utensils,Preethi,600 W HG194 & Grinder local made,P,"14,400",SCV,SCV Campus,In use
38,18-Jan-13,12Ltr Cooker,FC - PV1286,2012-13,,REG/FC/2012-13/051,Kitchen utensils,Premier,12 Lts,P,"2,186",SCV,SCV Campus,In use
39,18-Jan-13,RO System (Water purifier),FC - PV1277,2012-13,Pureit,REG/FC/2012-13/052,Equipments and Machinaries,HLL,Marvella Grey,P,"13,650",SCV,,Condemned
40,2-Mar-13,5 Desktops,FC - PV 1505,2012-13,5 desktops for AES,REG/FC/2012-13/055,Computer,Assembled,,P,"97,500",AES,SCV Campus,In use
41,7-Mar-13,1 TB Hard disk,FC - PV1515,2012-13,,REG/FC/2012-13/056,Computer,Seagate,1 TB,P,"5,100",ADM,Office,In use
42,22-Mar-13,Violins,PV1565,2012-13,Local made,REG/FC/2012-13/057,Music Instruments,,,P,"5,800",,"Renuka, AVS",In use
43,12-Apr-13,PVC Chairs,FC - PV30,2013-14,5 PVC Chairs,REG/FC/2013-14/059,Furniture,,,P,"2,700",SCV,,Condemned
44,12-Jun-13,SML Isuzu 3500L,FC - PV211,2013-14,,REG/FC/2013-14/060,Vehicles,SML ISUZU,TN25AH5242,P,"1,015,000",SCV,SCV Campus,In Use
45,8-Jul-13,Steel Chairs,FC - PV336,2013-14,10 Chairs,REG/FC/2013-14/061,Furniture,Local made,Local made,P,"3,900",,AES Centers,In use
46,10-Sep-13,TATA ACE,FC - PV596,2013-14,Used ACE,REG/FC/2013-14/065,Vehicles,TATA,ACE / TN32D4501,P,"128,000",,AML,Sold
47,25-Sep-13,Steel Buero,FC - PV652,2013-14,,REG/FC/2013-14/066,Furniture,Local made,Local made 6',P,"11,000",SCV,Office,In use
48,1-Nov-13,CCTV Setup (including erection on 10-Dec-13),"FC - PV850,994 ",2013-14,"Bullet 3, dome 1 & DVR 1",REG/FC/2013-14/069,Equipments and Machinaries,Aqua vision,,P,"22,822",SCV,SCV Campus,In use
49,20-Nov-13,1.69 Acre SCV (96 Cents + 36 Cents + 37 Cents),"2011-12 PV100,129,131,134, 2013-14 PV481,755,897,902,903,963,1002,388,389,390",2011-12 & 2013-14,,REG/FC/2013-14/077,Land,,,P,"3,456,230",SCV,Vediyappanur,In use
50,20-Dec-13,TATA ACE body Painting works,FC - PV1020,2013-14,,REG/FC/2013-14/079,Vehicles,,,P,"8,000",,AML,In use
51,25-Dec-13,TATA ACE body fabrication,FC - PV042,2013-14,,REG/FC/2013-14/080,Vehicles,,,P,"165,000",,AML,In use
52,19-Mar-14,Septic tank and gate 2 construction,FC - PV1302,2013-14,,REG/FC/2013-14/081,Buildings,,,P,"54,000",SCV,SCV Campus,In use
53,26-Mar-14,Yamaha crux,"FC - PV 1312,1317 ",2013-14,,REG/FC/2013-14/082,Vehicles,,,P,"46,409",,Office,In use
54,24-May-14,Tally 9,PV150,2014-15,,REG/FC/2014-15/084,Computer,,Tally ERP 9 Version,P,"9,000",ADM,Office,In use
55,10-Jul-14,TV Table (1 Nos),PV340,2014-15,,REG/FC/2014-15/085,Furniture,,Plywood table,P,"10,730",SCV,SCV Campus,In use
56,28-Jul-14,Desktop and Inkjet printer,"PV391,394",2014-15,Assembled com + Epson printer,REG/FC/2014-15/088,Computer,,Epson L210 inkjet printer,P,"31,953",ADM,Office,In use
